S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
11383,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,New Sale,1,1301000,1296000,764,Strata,11 to 15,1696,Sep-17
11384,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,New Sale,1,861000,856000,484,Strata,21 to 25,1767,Sep-17
11385,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,New Sale,1,1439000,1434000,786,Strata,21 to 25,1825,Sep-17
11386,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,New Sale,1,858000,-,484,Strata,21 to 25,1771,Sep-17
11387,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,New Sale,1,1398000,-,753,Strata,41 to 45,1855,Sep-17
11388,THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 yrs lease commencing from 2012,New Sale,1,1637000,-,1346,Strata,16 to 20,1217,Sep-17
11389,ARTRA,ALEXANDRA VIEW,Apartment,3,RCR,99 yrs lease commencing from 2016,New Sale,1,1799999,-,1044,Strata,21 to 25,1724,Sep-17
11390,ASCENTIA SKY,ALEXANDRA VIEW,Condominium,3,RCR,99 yrs lease commencing from 2008,Resale,1,2180000,-,1475,Strata,26 to 30,1478,Sep-17
11391,HARBOURLIGHTS,TELOK BLANGAH ROAD,Apartment,4,RCR,Freehold,Resale,1,1688000,-,1249,Strata,01 to 05,1352,Sep-17
11392,FLORIDIAN,BUKIT TIMAH ROAD,Condominium,21,RCR,Freehold,Resale,1,2320000,-,1324,Strata,06 to 10,1752,Sep-17
11393,D'GROVE VILLAS,ORANGE GROVE ROAD,Condominium,10,CCR,Freehold,Resale,1,4750000,-,2702,Strata,06 to 10,1758,Sep-17
11394,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,Condominium,4,RCR,99 yrs lease commencing from 2007,Resale,1,2157000,-,1206,Strata,01 to 05,1789,Sep-17
11395,PALM SPRING,EWE BOON ROAD,Condominium,10,CCR,Freehold,Resale,1,2728000,-,1873,Strata,01 to 05,1457,Sep-17
11396,NOTTINGHILL SUITES,TOH TUCK ROAD,Apartment,21,RCR,Freehold,Resale,1,590000,-,398,Strata,01 to 05,1481,Sep-17
11397,LUSH ON HOLLAND HILL,HOLLAND HILL,Condominium,10,CCR,Freehold,Resale,1,2190000,-,1475,Strata,06 to 10,1485,Sep-17
11398,HUNDRED TREES,WEST COAST DRIVE,Condominium,5,OCR,956 yrs lease commencing from 1928,Resale,1,1825000,-,1475,Strata,11 to 15,1238,Sep-17
11399,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,New Sale,1,832000,-,484,Strata,01 to 05,1718,Sep-17
11400,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,New Sale,1,858000,853000,484,Strata,16 to 20,1761,Sep-17
11401,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,Resale,1,1476800,-,689,Strata,06 to 10,2144,Sep-17
11402,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,Resale,1,1645800,-,904,Strata,06 to 10,1820,Sep-17
11403,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,Resale,1,1705000,-,861,Strata,01 to 05,1980,Sep-17
11404,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,Resale,1,2536000,-,1066,Strata,01 to 05,2380,Sep-17
11405,RIVER PLACE,HAVELOCK ROAD,Condominium,3,RCR,99 yrs lease commencing from 1995,Resale,1,970000,-,678,Strata,01 to 05,1430,Sep-17
11406,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 yrs lease commencing from 2006,Resale,1,1380000,-,893,Strata,06 to 10,1545,Sep-17
11407,QUEENS PEAK,DUNDEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2015,New Sale,1,1233000,-,775,Strata,11 to 15,1591,Sep-17
11408,THE CORNWALL,CORNWALL GARDENS,Condominium,10,CCR,Freehold,Resale,1,1210000,-,786,Strata,01 to 05,1540,Sep-17
11409,WEST BAY CONDOMINIUM,WEST COAST CRESCENT,Condominium,5,OCR,99 yrs lease commencing from 1991,Resale,1,758000,-,872,Strata,01 to 05,869,Sep-17
11410,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,New Sale,1,1705800,-,1033,Strata,21 to 25,1651,Sep-17
11411,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,New Sale,1,1663800,-,1033,Strata,06 to 10,1610,Sep-17
11412,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,New Sale,1,1666800,-,1033,Strata,06 to 10,1613,Sep-17
11413,CHATEAU LE FAME,EWE BOON ROAD,Apartment,10,CCR,Freehold,Resale,1,1500000,-,1141,Strata,01 to 05,1315,Sep-17
11414,BOTANNIA,WEST COAST PARK,Condominium,5,OCR,956 yrs lease commencing from 1928,Resale,1,1870000,-,1604,Strata,01 to 05,1166,Sep-17
